#Session,ID,Occasion,Detector,Sex
Boland1,BM7,1,L12-1.Bvlei,M
Boland1,BM8,1,L3-2.LMBtrail,M
Boland1,BM5,1,L24-2.KBK.Bpad,M
Boland1,BF1,1,L20-2.Whoek.Bkloof,F
Boland1,BM1,1,L5-1.HValley,M
Boland1,BF1,1,L20-2.Whoek.Bkloof,F
Boland1,BF2,1,L1-2.PBlanc,F
Boland1,BM4,1,L14-2.Whoek.Dstein,M
Boland1,BM5,1,L22-1.SGum,M
Boland1,BM9,1,L10-1.Gevonden,M
Boland1,BM9,1,L10-2.Tstelkloof,M
Boland1,BM8,1,L3-2.LMBtrail,M
Boland1,BM2,1,L4-2.Wrivier,M
Boland1,BM10,1,L9-x.Wrus,M
Boland1,BM4,1,L20-2.Whoek.Bkloof,M
Boland1,BM5,1,L22-1.SGum,M
Boland1,BM4,1,L21-2.Whoek.Ohoek,M
Boland1,BM4,1,L21-2.Whoek.Ohoek,M
Boland1,BM7,1,L10-1.Gevonden,M
Boland1,BM4,1,L21-2.Whoek.Ohoek,M
Boland1,BM3,1,L22-2.Hnoon.ENest,M
Boland1,BM3,1,L22-1.SGum,M
Boland1,BM7,1,L18-1.KBK.Gklip,M
Boland1,BM8,1,L2-1.Ttol.R5,M
Boland1,Partial.ID1,1,L13-1.OGlen,F
Boland1,BM5,1,L22-1.SGum,M
Boland1,BM2,1,L6-1.Bland,M
Boland1,BM4,1,L19-2.Zhoek.S,M
Boland1,BM2,1,L4-2.Wrivier,M
Boland1,BF1,1,L14-2.Whoek.Dstein,F
Boland1,BF2,1,L2-1.Ttol.R5,F
Boland1,BM8,1,L2-1.Ttol.R5,M
Boland1,BM10,1,L15-2.Fkraal.Evlakte,M
Boland1,BF16,1,L9-x.Wrus,F
Boland1,BM5,1,L23-2.Sttyn.boorde,M
Boland1,BM5,1,L24-2.KBK.Bpad,M
Boland1,BM4,1,L13-1.OGlen,M
Boland1,BF3,1,L21-2.Whoek.Ohoek,F
Boland1,BM4,1,L21-2.Whoek.Ohoek,M
Boland1,BM3,1,L22-2.Hnoon.ENest,M
Boland1,BF1,1,L20-2.Whoek.Bkloof,F
Boland1,BM8,1,L4-2.Wrivier,M
Boland1,Partial.ID2,1,L10-1.Gevonden,F
Boland1,BM5,1,L18-1.KBK.Gklip,M
Boland1,BM5,1,L24-2.KBK.Bpad,M
Boland1,BM9,1,L10-2.Tstelkloof,M
Boland1,BM5,1,L23-2.Sttyn.boorde,M
Boland1,BM10,1,L9-x.Wrus,M
Boland1,BM7,1,L18-1.KBK.Gklip,M
Boland1,BF3,1,L21-2.Whoek.Ohoek,F
Boland1,BM8,1,L3-2.LMBtrail,M
Boland1,Partial.ID3,1,L23-1.Sttyn.Lkrans,F
Boland1,BF1,1,L19-2.Zhoek.S,F
Boland1,BM3,1,L23-1.Sttyn.Lkrans,M
Boland1,BM1,1,L5-1.HValley,M
Boland1,BM4,1,L21-2.Whoek.Ohoek,M
Boland1,BM4,1,L20-2.Whoek.Bkloof,M
Boland1,BM5,1,L22-2.Hnoon.ENest,M
Boland1,BF1,1,L20-2.Whoek.Bkloof,F
Boland1,BM3,1,L24-2.KBK.Bpad,M
Boland1,BM3,1,L23-2.Sttyn.boorde,M
Boland1,BM4,1,L20-1.LMotte,M
Boland1,BM4,1,L21-2.Whoek.Ohoek,M
Boland1,BM10,1,L15-2.Fkraal.Evlakte,M
Boland1,BM2,1,L6-1.Bland,M
Boland1,BM8,1,L2-1.Ttol.R5,M
Boland1,BM8,1,L3-2.LMBtrail,M
Boland1,BF1,1,L20-2.Whoek.Bkloof,F
Boland1,BF2,1,L2-1.Ttol.R5,F
Boland1,BM10,1,L15-1.Fkraal.Croad,M
Boland1,BF1,1,L14-2.Whoek.Dstein,F
Boland1,BM4,1,L21-2.Whoek.Ohoek,M
Boland1,BM7,1,L12-1.Bvlei,M
Boland1,BM5,1,L23-2.Sttyn.boorde,M
Boland1,BM6,1,L2-2.Bkloof,M
Boland1,BM9,1,L10-2.Tstelkloof,M
Boland1,BF5,1,L18-1.KBK.Gklip,F
Boland1,BF5,1,L18-1.KBK.Gklip,F
Boland1,BM7,1,L24-2.KBK.Bpad,M
Boland1,BM8,1,L3-2.LMBtrail,M
Boland1,BM4,1,L20-2.Whoek.Bkloof,M
Boland1,BM4,1,L21-2.Whoek.Ohoek,M
Boland1,BM8,1,L2-1.Ttol.R5,M
Boland1,BM4,1,L21-2.Whoek.Ohoek,M
Boland1,BF2,1,L2-2.Bkloof,F
Boland1,BM7,1,L18-1.KBK.Gklip,M
Boland1,BF1,1,L19-2.Zhoek.S,F
Boland1,BM4,1,L21-2.Whoek.Ohoek,M
Boland1,BM5,1,L17-2.Dberg,M
Boland1,BF1,1,L13-2.Zhoek.N,F
Boland1,BM5,1,L22-2.Hnoon.ENest,M
Boland1,BM7,1,L18-1.KBK.Gklip,M
Boland1,BM3,1,L22-2.Hnoon.ENest,M
Boland1,BM5,1,L22-1.SGum,M
Boland1,BM5,1,L22-2.Hnoon.ENest,M
Boland1,BF5,1,L22-1.SGum,F
Boland1,BM23,1,L2-2.Bkloof,M
Boland1,BM5,1,L23-2.Sttyn.boorde,M
Boland1,BF1,1,L19-2.Zhoek.S,F
Boland1,BF5,1,L22-1.SGum,F
Boland1,BM5,1,L17-2.Dberg,M
Boland1,BM5,1,L18-1.KBK.Gklip,M
Boland1,BF1,1,L20-2.Whoek.Bkloof,F
Boland1,BF5,1,L22-1.SGum,F
Boland1,BM10,1,L9-x.Wrus,M
Boland1,Partial.ID3,1,L23-1.Sttyn.Lkrans,F
Boland1,BM5,1,L23-1.Sttyn.Lkrans,M
Boland1,BF3,1,L21-2.Whoek.Ohoek,F
Boland1,BM5,1,L16-2.Skloof,M
Boland1,BM7,1,L18-1.KBK.Gklip,M
Boland1,BF3,1,L21-2.Whoek.Ohoek,F
Boland1,BM23,1,L2-2.Bkloof,M
Boland1,BM4,1,L21-2.Whoek.Ohoek,M
Boland1,BM9,1,L10-1.Gevonden,M
Boland1,BF3,1,L21-2.Whoek.Ohoek,F
Boland1,BF3,1,L21-2.Whoek.Ohoek,F
Boland1,BM10,1,L15-1.Fkraal.Croad,M
Boland1,BM9,1,L10-2.Tstelkloof,M
Boland1,BM4,1,L21-2.Whoek.Ohoek,M
Boland1,BM7,1,L18-1.KBK.Gklip,M
Boland1,BF3,1,L20-2.Whoek.Bkloof,F
Boland1,BM4,1,L20-2.Whoek.Bkloof,M
Boland1,BM10,1,L15-1.Fkraal.Croad,M
Boland1,BM8,1,L2-2.Bkloof,M
Boland1,BF3,1,L21-2.Whoek.Ohoek,F
Boland1,BM7,1,L18-2.Wberg,M
Boland1,BM2 ,1,L6-2.Sbeugel,M
Boland1,BM7,1,L18-1.KBK.Gklip,M
Boland1,BM8,1,L4-2.Wrivier,M
Boland1,BF2,1,L2-2.Bkloof,F
Boland1,BM10,1,L10-2.Tstelkloof,M
Boland1,BM7,1,L18-1.KBK.Gklip,M
Boland1,BM9,1,L10-1.Gevonden,M
Boland1,BM4,1,L21-2.Whoek.Ohoek,M
Boland1,BM1,1,L8-1.DPoort,M
Boland1,BM11,1,L2-2.Bkloof,M
Boland1,BF1,1,L20-2.Whoek.Bkloof,F
Boland1,BM4,1,L20-2.Whoek.Bkloof,M
Boland1,BM7,1,L17-2.Dberg,M
Boland1,BF1,1,L20-2.Whoek.Bkloof,F
