#Session;ID;Occasion;Detector;Sex
Northern;BF3;113;L21-2.Whoek.Ohoek;F
Northern;BM7;113;L18-2.Wberg;M
Northern;BM2 ;117;L6-2.Sbeugel;M
Northern;BM7;117;L18-1.KBK.Gklip;M
Northern;BM8;117;L4-2.Wrivier;M
Northern;BF2;118;L2-2.Bkloof;F
Northern;BM10;118;L10-2.Tstelkloof;M
Northern;BM7;118;L18-1.KBK.Gklip;M
Northern;BM9;118;L10-1.Gevonden;M
Northern;BM4;119;L21-2.Whoek.Ohoek;M
Northern;BM1;120;L8-1.DPoort;M
Northern;BM11;120;L2-2.Bkloof;M
Northern;BF1;123;L20-2.Whoek.Bkloof;F
Northern;BM4;123;L20-2.Whoek.Bkloof;M
Northern;BM7;125;L17-2.Dberg;M
Northern;BF1;126;L20-2.Whoek.Bkloof;F
Northern;BF21;128;L2-2.Bkloof;F
Northern;BM5;128;L22-2.Hnoon.ENest;M
Northern;BM7;128;L18-1.KBK.Gklip;M
Northern;BM2 ;129;L6-2.Sbeugel;M
Northern;BM4;129;L19-2.Zhoek.S;M
Northern;BM7;129;L24-2.KBK.Bpad;M
Southern;BM12;132;5A-2.Sbras.quarry;M
Southern;BM12;132;5B-1.Sbras.sand;M
Southern;BM5;132;1G-2.Sttyn.Lkrans;M
Southern;BM13;133;4B-2.Vgelegen.S;M
Southern;BM14;133;2D-1.Akloof;M
Southern;BM15;136;6E-2.Hteq;M
Southern;BF8;137;6A-2.Kberg.kloof;F
Southern;BM14;139;2B-1.Sbos;M
Southern;BM16;141;2E-2.Rbos;M
Southern;BF10;142;1B-2.SPeak;F
Southern;BM12;143;5A-2.Sbras.quarry;M
Southern;BM17;143;3C-1.Lkop;M
Southern;BM17;143;3C-x.SPass;M
Southern;BF10;144;1B-2.SPeak;F
Southern;BM13;145;3B-1.Lford.Gnek;M
Southern;BF8;148;5B-2.Rview.Wkloof;F
Southern;BM31;148;2C-2.Bnek;M
Southern;BM14;149;1B-2.SPeak;M
Southern;BM14;149;2C-1.Lkloof;M
Southern;BM16;149;2E-2.Rbos;M
Southern;BM13;150;2C-2.Bnek;M
Southern;BM12;152;7C-2.Pberg;M
Southern;BM14;152;2C-1.Lkloof;M
Southern;BM5;153;1G-2.Sttyn.Lkrans;M
Southern;BM17;154;4E-2.Gberg.Tfntn;M
Southern;Partial.ID12;155;2D-1.Akloof;M
Southern;BF5;158;1G-2.Sttyn.Lkrans;F
Southern;BF8;159;6A-2.Kberg.kloof;F
Southern;BF8;160;6A-1.Kberg.basin;F
Southern;BM12;160;5A-2.Sbras.quarry;M
Southern;BF11;161;2D-1.Akloof;F
Southern;BM17;161;5E-2.Hhoek.Kkraal;M
Southern;BF11;162;2D-1.Akloof;F
Southern;BF5;162;1G-2.Sttyn.Lkrans;F
Southern;BF11;164;2D-1.Akloof;F
Southern;BM13;166;2C-1.Lkloof;M
Southern;BM16;166;1E-1.Lvlakte;M
Southern;BF11;167;2D-2.Fkloof;F
Southern;BM17;167;4C-2.BPad;M
Southern;BM4;167;1E-2.MRNR.Ukyk;M
Southern;BF11;168;2D-1.Akloof;F
Southern;BF12;168;3C-1.Lkop;F
Southern;BM13;169;3B-x.Lford.hut;M
Southern;BM15;169;7D-2.Hklip;M
