#Session,ID,Occasion,Detector,Sex
Boland,BM12,100,7B-1.Kberg.trail,M
Boland,BM13,101,2B-2.Skloof,M
Boland,BM16,101,2E-2.Rbos,M
Boland,BM12,102,7D-2.Hklip,M
Boland,BM17,104,5E-2.Hhoek.Kkraal,M
Boland,BM16,105,2E-1.Mwater,M
Boland,BM14,107,2C-1.Lkloof,M
Boland,Partial ID13,108,2B-1.Sbos,F
Boland,BM13,109,2C-2.Bnek,M
Boland,BM12,110,5A-2.Sbras.quarry,M
Boland,BF10,111,1B-2.SPeak,F
Boland,BM14,111,2C-1.Lkloof,M
Boland,BM14,111,2C-2.Bnek,M
Boland,BM14,111,2D-1.Akloof,M
Boland,BM12,112,5A-2.Sbras.quarry,M
Boland,BM12,113,4B-1.HKop,M
Boland,BF7,115,5A-2.Sbras.quarry,F
Boland,BM12,115,5B-1.Sbras.sand,M
Boland,BM12,115,6A-1.Kberg.basin,M
Boland,BM13,116,2C-1.Lkloof,M
Boland,BM17,117,4D-2.DRust,M
Boland,BM12,117,7A-1.Lbos,M
Boland,BM13,118,2B-1.Sbos,M
Boland,BF11,118,2D-1.Akloof,F
Boland,BM17,122,4D-2.DRust,M
Boland,BM13,123,2C-1.Lkloof,M
Boland,BM14,125,1B-2.SPeak,M
Boland,BM17,125,4D-2.DRust,M
Boland,BM13,127,3B-2.Vgelegen.N,M
Boland,BM12,128,6A-2.Kberg.kloof,M
Boland,BF8,129,6A-2.Kberg.kloof,F
Boland,BF7,130,5A-2.Sbras.quarry,F
Boland,BM12,130,7C-1.Pvallei,M
